timestep,electricity demand (kW),pv yield (kW/kW),temperature,heat_demand,heat_demand_profile
2021-11-17 13:00:00,0.1736912496354845,0.02554,6.0,21.39969283236065,0.00015339369408436142
2021-11-17 14:00:00,0.0965827222824096,0.00695,5.9,21.95287598902152,0.00015735892893937493
2021-11-17 15:00:00,0.3087153326246473,0.0,5.6,23.21805215110474,0.00016642775280940482
2021-11-17 16:00:00,0.5089377796173106,0.0,5.3,24.120955256694003,0.00017289979163031443
2021-11-17 17:00:00,0.246630110889011,0.0,4.8,24.925013532768787,0.00017866330749908912
2021-11-17 18:00:00,0.2548903611501056,0.0,4.4,25.383935594728214,0.00018195287576215857
2021-11-17 19:00:00,0.2070653612772623,0.0,3.9,25.988622951605485,0.00018628729439910502
2021-11-17 20:00:00,0.3133502499050562,0.0,3.5,26.84763377110555,0.000192444711886065
2021-11-17 21:00:00,0.130708833312988,0.0,3.0,28.040156601666197,0.0002009927543132449
2021-11-17 22:00:00,0.1696405552546185,0.0,2.6,29.434577129101356,0.00021098800599680598
2021-11-17 23:00:00,0.1570844446182251,0.0,2.1,31.04338852606262,0.00022252001840456013
2021-11-18 00:00:00,0.1287703886879813,0.0,1.6,32.535385154751204,0.00023321469875482517
2021-11-18 01:00:00,0.1548459996965198,0.0,1.0,33.959746883236214,0.00024342456994112108
2021-11-18 02:00:00,0.1456813055038454,0.0,0.4,35.284033022089694,0.0002529170960467419
2021-11-18 03:00:00,0.1772760277430214,0.0,0.1,35.940317083788536,0.00025762136154163916
2021-11-18 04:00:00,0.4748958342022376,0.0,-0.2,36.480067645813264,0.00026149031112150797
2021-11-18 05:00:00,0.5094415845659044,0.0,-0.4,36.37405014723943,0.00026073037424431916
2021-11-18 06:00:00,0.6447152502059939,0.0,-0.6,36.35161348558076,0.0002605695475239683
2021-11-18 07:00:00,0.1350819441689385,0.05932,-0.6,36.430307419646304,0.0002611336282022709
2021-11-18 08:00:00,0.1443904722637599,0.20006,1.2,28.201609287724203,0.00020215005241692747
2021-11-18 09:00:00,0.219512472173903,0.24928,3.6,21.645237778149905,0.00015515376824025776
2021-11-18 10:00:00,0.1751454723782012,0.30526,5.8,17.188952972379152,0.0001232109738457748
2021-11-18 11:00:00,0.2480268344031444,0.39336,7.6,14.021540422394668,0.00010050685769152016
2021-11-18 12:00:00,0.2410382500118678,0.36965,8.8,11.326244729260331,8.118689051917184e-05
2021-11-18 13:00:00,0.2307847498575848,0.24003,9.3,9.065250803310647,6.498001253635985e-05
2021-11-18 14:00:00,0.2367986673567031,0.13708,9.2,9.36890247637152,6.715659760281784e-05
2021-11-18 15:00:00,0.2120085279464722,0.0,8.0,13.29057312310474,9.526726032106658e-05
2021-11-18 16:00:00,0.1779978330612181,0.0,6.4,21.74618355278045,0.0001558773508353019
2021-11-18 17:00:00,0.245696638997396,0.0,5.9,22.54999404431274,0.00016163909057641867
2021-11-18 18:00:00,0.2396331952412921,0.0,5.4,23.125894439265977,0.000165767163334217
2021-11-18 19:00:00,0.2556628058963348,0.0,4.9,23.68864816406967,0.00016980100033288804
2021-11-18 20:00:00,0.272306499671936,0.0,4.3,24.961875715835014,0.00017892753682596953
2021-11-18 21:00:00,0.1491425835503473,0.0,3.8,26.322501927028743,0.00018868054975180933
2021-11-18 22:00:00,0.1564471942265828,0.0,3.3,27.87694860221641,0.00019982287406609186
2021-11-18 23:00:00,0.127709694311354,0.0,2.8,29.50858727525093,0.00021151851313102238
2021-11-19 00:00:00,0.1682052777184378,0.0,2.3,33.549565237374296,0.0002404843745655493
2021-11-19 01:00:00,0.1112051942613391,0.0,1.8,34.74971059589964,0.00024908705552104484
2021-11-19 02:00:00,0.2035351666768392,0.0,1.3,35.9235369479655,0.0002575010809824136
2021-11-19 03:00:00,0.1507965554767188,0.0,1.0,36.59139407257601,0.0002622883025685874
2021-11-19 04:00:00,0.1751425278981525,0.0,0.7,37.15145619975888,0.0002663028461079887
2021-11-19 05:00:00,0.1717192497677272,0.0,0.5,37.206504419877966,0.0002666974335398263
2021-11-19 06:00:00,0.082818000210656,0.0,0.3,37.40576896229271,0.0002681257682594166
2021-11-19 07:00:00,0.1806577220598856,0.01627,0.3,37.50895935430353,0.0002688654403448316
2021-11-19 08:00:00,0.1168737497965492,0.09288,0.5,36.82076728457734,0.00026393245721082945
2021-11-19 09:00:00,0.1426360004848904,0.23172,0.9,35.426636819238325,0.00025393928470180554
2021-11-19 10:00:00,0.1556978054258562,0.28272,1.2,34.31204380066869,0.0002459498457010507
2021-11-19 11:00:00,0.0980088611602783,0.10588,1.5,33.46964881861626,0.00023991153107721892
2021-11-19 12:00:00,0.2048219167709351,0.1032,1.6,33.25467245822127,0.0002383705735354391
2021-11-19 13:00:00,0.1031831386778089,0.1304199999999999,1.6,33.42420256362062,0.00023958577084361691
2021-11-19 14:00:00,0.1523108058505588,0.07816,1.5,33.89806078228233,0.00024298240196361307
2021-11-19 15:00:00,0.2979205564286967,0.0,1.2,35.008558525344625,0.00025094248589636366
2021-11-19 16:00:00,0.1540840833028159,0.0,0.7,36.26650223825504,0.0002599594673355426
2021-11-19 17:00:00,0.1978187773810491,0.0,0.9,35.44367660588648,0.0002540614264465888
2021-11-19 18:00:00,0.1660108887142605,0.0,0.7,35.369522189741424,0.0002535298851803535
2021-11-19 19:00:00,0.2741772225697833,0.0,0.5,35.549746986469664,0.0002548217423837402
2021-11-19 20:00:00,0.2963541933695477,0.0,0.3,35.9804967563844,0.0002579093707413441
2021-11-19 21:00:00,0.1714498331705732,0.0,0.1,36.84211631642149,0.0002640854877653029
2021-11-19 22:00:00,0.1664270554012723,0.0,-0.2,37.78946143363388,0.000270876088370665
2021-11-19 23:00:00,0.1016717501004538,0.0,-0.4,38.774677262932656,0.00027793814747171874
2021-11-20 00:00:00,0.1561591941409643,0.0,-0.4,39.26393054299484,0.0002814451308924406
2021-11-20 01:00:00,0.1294516939163209,0.0,-0.3,39.23952131251188,0.0002812701647346144
2021-11-20 02:00:00,0.1824055279837712,0.0,-0.3,39.33672690057352,0.0002819669375507115
2021-11-20 03:00:00,0.1504301111221312,0.0,-0.2,39.15957140322581,0.0002806970811850901
2021-11-20 04:00:00,0.1884530553393893,0.0,-0.2,39.14101188362978,0.00028056404594511877
2021-11-20 05:00:00,0.1496015554428101,0.0,-0.2,38.77588612183492,0.0002779468126116391
2021-11-20 06:00:00,0.1355424718644879,0.0,-0.1,38.36692287414627,0.0002750153507537924
2021-11-20 07:00:00,0.1512356388515899,0.04572,-0.1,38.60673459125206,0.00027673432894005607
2021-11-20 08:00:00,0.1318750553978815,0.12821,0.9,35.77141532404372,0.0002564106682355452
2021-11-20 09:00:00,0.1583536667082042,0.19583,3.2,27.009670681870077,0.00019360619773144136
2021-11-20 10:00:00,0.1062870002746581,0.33948,5.0,23.338280285286316,0.0001672895519847226
2021-11-20 11:00:00,0.1638904168023005,0.35143,6.1,21.126323782873257,0.00015143417584838982
2021-11-20 12:00:00,0.126015277396308,0.24053,7.6,16.580730316779437,0.00011885121407262724
2021-11-20 13:00:00,0.1425616112391156,0.19727,7.9,17.403098102085433,0.00012474597309894856
2021-11-20 14:00:00,0.1501156389448376,0.08635,7.6,18.74440119407188,0.00013436047727797328
2021-11-20 15:00:00,0.1456516668637595,0.0,6.3,24.40969214869885,0.00017496946706117316
2021-11-20 16:00:00,0.2920357779608835,0.0,5.2,26.90208992064622,0.00019283505533674396
2021-11-20 17:00:00,0.1960806941562231,0.0,5.1,26.876371725967225,0.00019265070648099655
2021-11-20 18:00:00,0.2599437500423854,0.0,5.0,26.549953062454577,0.0001903109268866573
2021-11-20 19:00:00,0.2255721946504379,0.0,4.9,26.250128778384195,0.00018816177666893983
2021-11-20 20:00:00,0.2517602499855886,0.0,4.9,26.29753664716208,0.00018850159781391953
2021-11-20 21:00:00,0.1831841384251915,0.0,4.8,26.86551906592648,0.0001925729142609244
2021-11-20 22:00:00,0.127625249947442,0.0,4.7,27.505876790573552,0.00019716301925395177
2021-11-20 23:00:00,0.1887080832163495,0.0,4.6,28.26580051641051,0.00020261017723148167
2021-11-21 00:00:00,0.1459189721849231,0.0,4.3,26.7140132930012,0.0001914869159540248
2021-11-21 01:00:00,0.1718433614518909,0.0,3.8,27.92276865623621,0.00020015131370325402
2021-11-21 02:00:00,0.165802277692159,0.0,3.7,28.16902296883969,0.0002019164726235415
2021-11-21 03:00:00,0.1469384997473822,0.0,3.6,28.39409430003853,0.00020352979124430538
2021-11-21 04:00:00,0.1305897777981228,0.0,3.5,28.532779212303435,0.00020452388920509055
2021-11-21 05:00:00,0.1250415835486515,0.0,3.4,28.25804991508252,0.00020255462066913336
2021-11-21 06:00:00,0.1477530835893417,0.0,3.3,28.104865546885133,0.00020145659013673977
2021-11-21 07:00:00,0.4092032222959729,0.00384,3.3,28.021534757429887,0.0002008592723282254
2021-11-21 08:00:00,0.2920208871629498,0.01443,3.7,27.144025251572856,0.00019456925565592982
2021-11-21 09:00:00,0.7862124997456864,0.01091,4.3,25.587154468399905,0.00018340955525678314
2021-11-21 10:00:00,1.0528435533735496,0.01399,4.7,24.60505597252916,0.00017636984130310905
2021-11-21 11:00:00,1.1350117794884569,0.02941,5.1,23.398283244244663,0.00016771965514567522
2021-11-21 12:00:00,0.2392918885125054,0.0208299999999999,5.5,22.176672215110337,0.00015896310756524708
2021-11-21 13:00:00,0.2535173614925805,0.01443,5.6,22.35017974376065,0.0001602068151726232
2021-11-21 14:00:00,0.1541222223281857,0.01168,5.7,22.48745814932152,0.00016119083124761799
2021-11-21 15:00:00,0.2545351947360569,0.0,5.4,23.68234502240474,0.00016975581920847217
2021-11-21 16:00:00,1.1365232504950638,0.0,5.0,24.74271364100672,0.00017735657594702327
2021-11-21 17:00:00,1.2654435881720638,0.0,4.7,25.054024870041232,0.000179588064959769
2021-11-21 18:00:00,0.2890493057674831,0.0,4.4,25.20727246940895,0.00018068654873524764
2021-11-21 19:00:00,0.2416012219323049,0.0,4.0,25.552063043063946,0.00018315801877889367
2021-11-21 20:00:00,0.2549253888871937,0.0,3.7,26.21382883725824,0.00018790157751056994
2021-11-21 21:00:00,0.1998388335333932,0.0,3.3,27.41715740890126,0.0001965270758412027
2021-11-21 22:00:00,0.2917078324847756,0.0,3.0,28.496473824101084,0.0002042636510018999
2021-11-21 23:00:00,0.1548084999084471,0.0,2.7,29.75682136219248,0.0002132978631381422
2021-11-22 00:00:00,0.1781663609398737,0.0,1.8,32.1041724242512,0.00023012375188069181
2021-11-22 01:00:00,0.1551701113171049,0.0,0.8,34.390959613736214,0.00024651551681525443
